source,relation,target,speaker,role
competitive sport,drives,materials advancement,,none
cycling culture,expands,electric bikes,,none
propulsion,fosters,technological development,,none
commuter cycling,enhances,efficiency,,none
carbon fiber,influences,bike styles,,none
eco-friendly option,offers,cycling popularity,,none
innovation,shapes,societal impact,,none
eco-friendly option,provides,endurance,,none
rider preferences,led to,safety bicycle,,none
pneumatic tires,boosts,cycling popularity,,none
innovation,influences,mechanical design,,none
agility,improves,efficiency,,none
innovation,occurred in,19th century,,none
innovation,influenced,transportation,,none
innovation,contributes to,lightweight frames,,none
chain drive,facilitates,commuter cycling,,none
efficiency,affects,bike styles,,none
technological advancements,enhances,agility,,none
lightweight frames,improves,racing machines,,none
ride experience,influences,cycling popularity,,none
stability,enhances,transport evolution,,none
innovation,demonstrates,human ingenuity,,none
bicycle history,influences,societal impact,,none
safety bicycle,improves,ride safety,,none
titanium alternatives,provides,performance improvement,,none
sustainable transport,serves as,eco-friendly option,,none
eco-friendly option,is a factor in,carbon fiber,,none
bicycle evolution,is a result of,racing machines,,none
commuter cycling,is influenced by,transport evolution,,none
bike styles,is a category of,lightweight frames,,none
rider preferences,affects,comfort,,none
technological advancements,enhances,competitive sport,,none
Tour de France,is showcased in,societal impact,,none
innovation,supports,urban mobility,,none
technological advancements,leads to,electric bikes,,none
rider preferences,is influenced by,high-wheel bicycle,,none
technological development,shapes,bike styles,,none
transport evolution,enhances,comfort,,none
Tour de France,is featured in,commuter cycling,,none
recreational cycling,affects,performance,,none
steel frames,is a type of,bike styles,,none
competitive sport,contributes to,performance improvement,,none
Tour de France,marks,cycling milestones,,none
accidents,is a concern for,recreational cycling,,none
cycling culture,influences,design evolution,,none
performance improvement,drives,cycling popularity,,none
eco-friendly option,is a benefit of,efficiency,,none
aluminum bikes,is a result of,technological development,,none
societal impact,affects,velocipede,,none
ride safety,is improved by,design transformation,,none
pneumatic tires,enables,propulsion,,none
design evolution,is influenced by,racing machines,,none
ride experience,is affected by,design transformation,,none
bike styles,is categorized as,transportation,,none
velocipede,is a part of,mechanical design,,none
pneumatic tires,improves,efficiency,,none
19th century,originated in,velocipede,,none
boneshaker,caused by,accidents,,none
velocipede,reflects,human ingenuity,,none
chain drive,features,velocipede,,none
accidents,caused by,early prototypes,,none
early prototypes,led to,accidents,,none
accidents,influenced by,bicycle evolution,,none
pneumatic tires,contributed to,transport evolution,,none
leisure activity,enhanced by,comfort,,none
ride dynamics,improves,comfort,,none
technological advancements,transformed,transportation,,none
technological advancements,led to,lightweight frames,,none
sustainable transport,includes,electric bikes,,none
innovation,drives,design transformation,,none
cycling milestones,provides,eco-friendly option,,none
bicycle evolution,demonstrates,human ingenuity,,none
performance improvement,enhances,ride safety,,none
titanium alternatives,offers,performance,,none
high-wheel bicycle,represents,materials advancement,,none
aluminum bikes,influences,bike styles,,none
endurance,shapes,bicycle evolution,,none
commuter cycling,contrasts with,racing machines,,none
rider preferences,drives,cycling popularity,,none
propulsion,utilizes,steel frames,,none
ride dynamics,influences,bicycle evolution,,none
pneumatic tires,advances,technological advancements,,none
societal impact,reflects,penny-farthing,,none
stability,marks,cycling milestones,,none
bicycle evolution,enhances,urban mobility,,none
chain drive,is a part of,cycling milestones,,none
accidents,influences,design evolution,,none
commuter cycling,shapes,bike styles,,none
agility,enhances,racing machines,,none
bicycle history,illustrates,design transformation,,none
societal impact,demonstrates,adoption,,none
boneshaker,lacked,efficiency,,none
eco-friendly option,provides,human ingenuity,,none
sustainable transport,influences,design evolution,,none
carbon fiber,enhances,mechanical design,,none
eco-friendly option,offers,commuter cycling,,none
carbon fiber,contributes to,design evolution,,none
transport evolution,drives,design transformation,,none
bicycle evolution,showcases,Tour de France,,none
eco-friendly option,provides,agility,,none
cycling milestones,introduces,electric bikes,,none
boneshaker,precedes,cycling milestones,,none
steel frames,enhances,comfort,,none
pneumatic tires,improves,racing machines,,none
leisure activity,increases,cycling popularity,,none
transport evolution,affects,ride safety,,none
recreational cycling,enhances,urban mobility,,none
transport evolution,improves,efficiency,,none
design evolution,is influenced by,efficiency,,none
innovation,introduced,carbon fiber,,none
technological development,shapes,bicycle evolution,,none
safety bicycle,is enhanced by,stability,,none
velocipede,precedes,high-wheel bicycle,,none
propulsion,drives,bicycle evolution,,none
safety bicycle,utilizes,chain drive,,none
pneumatic tires,influences,bike styles,,none
ride experience,enhances,racing machines,,none
steel frames,contributes to,bicycle evolution,,none
leisure activity,is associated with,velocipede,,none
lightweight frames,improves,mechanical design,,none
innovation,drives,technological development,,none
lightweight frames,influences,design evolution,,none
early prototypes,is linked to,transportation,,none
transportation,is part of,bicycle evolution,,none
aluminum bikes,enhances,recreational cycling,,none
ride safety,affects,bike styles,,none
Tour de France,is showcased in,racing machines,,none
ride dynamics,enhances,efficiency,,none
boneshaker,influenced by,commuter cycling,,none
transport evolution,showcases,Tour de France,,none
aluminum bikes,provides,comfort,,none
carbon fiber,improved by,velocipede,,none
carbon fiber,shapes,cycling culture,,none
performance improvement,contributes to,bike styles,,none
eco-friendly option,serves as,ride safety,,none
eco-friendly option,enhances,ride experience,,none
boneshaker,supports,urban mobility,,none
recreational cycling,drives,design transformation,,none
rider preferences,informs,technological development,,none
competitive sport,inspired by,human ingenuity,,none
rider preferences,influences,sustainable transport,,none
aluminum bikes,reflects,bicycle evolution,,none
technological advancements,leads to,materials advancement,,none
mechanical design,affects,performance,,none
propulsion,boosts,cycling popularity,,none
titanium alternatives,competes with,lightweight frames,,none
transport evolution,impacts,accidents,,none
human ingenuity,demonstrated by,penny-farthing,,none
cycling culture,shapes,efficiency,,none
technological advancements,advances,commuter cycling,,none
materials advancement,includes,carbon fiber,,none
competitive sport,facilitates,urban mobility,,none
recreational cycling,improves,efficiency,,none
cycling culture,influences,performance improvement,,none
racing machines,demonstrates,performance improvement,,none
commuter cycling,evolves from,early prototypes,,none
Tour de France,transforms,design transformation,,none
transport evolution,affects,endurance,,none
urban mobility,enhances,stability,,none
Tour de France,featured in,accidents,,none
technological advancements,advances,carbon fiber,,none
ride dynamics,influences,transport evolution,,none
chain drive,enables,urban mobility,,none
eco-friendly option,provides,performance improvement,,none
aluminum bikes,influences,design evolution,,none
lightweight frames,shapes,cycling culture,,none
bike styles,informs,bicycle history,,none
efficiency,enhances,ride safety,,none
innovation,marks,cycling milestones,,none
pneumatic tires,improves,agility,,none
societal impact,shapes,19th century,,none
bicycle evolution,evolves from,agility,,none
technological development,drives,cycling culture,,none
adoption,enhances,bike styles,,none
ride safety,influences,Tour de France,,none
commuter cycling,affects,mechanical design,,none
Tour de France,showcases,ride dynamics,,none
rider preferences,reflects,lightweight frames,,none
ride dynamics,influences,technological advancements,,none
commuter cycling,drives,design evolution,,none
cycling culture,promotes,adoption,,none
commuter cycling,originates from,19th century,,none
sustainable transport,supports,leisure activity,,none
human ingenuity,demonstrates,societal impact,,none
ride experience,enhances,agility,,none
racing machines,facilitates,adoption,,none
carbon fiber,encourages,leisure activity,,none
stability,boosts,cycling popularity,,none
transport evolution,influences,racing machines,,none
bike styles,reflects,rider preferences,,none
electric bikes,enhanced by,pneumatic tires,,none
ride experience,enhances,recreational cycling,,none
chain drive,contributes to,cycling popularity,,none
boneshaker,predecessor of,pneumatic tires,,none
technological development,improves,ride safety,,none
agility,drives,design evolution,,none
accidents,causes,propulsion,,none
ride safety,affects,propulsion,,none
ride experience,enhances,competitive sport,,none
propulsion,improves,efficiency,,none
sustainable transport,enabled advancements in,materials advancement,,none
boneshaker,limited by,ride safety,,none
transportation,enhances,ride safety,,none
design transformation,influenced by,electric bikes,,none
sustainable transport,promotes,commuter cycling,,none
adoption,fueled by,transport evolution,,none
high-wheel bicycle,improved by,pneumatic tires,,none
velocipede,marks,cycling milestones,,none
mechanical design,enhances,comfort,,none
leisure activity,facilitates,lightweight frames,,none
early prototypes,demonstrates,human ingenuity,,none
performance improvement,improved by,accidents,,none
stability,drives,design transformation,,none
technological advancements,influences,velocipede,,none
racing machines,affected by,accidents,,none
rider preferences,offers,eco-friendly option,,none
societal impact,influenced by,titanium alternatives,,none
chain drive,enables,design transformation,,none
societal impact,impacts,high-wheel bicycle,,none
safety bicycle,inspired by,human ingenuity,,none
technological development,supports,leisure activity,,none
performance improvement,enhanced by,endurance,,none
innovation,drives,recreational cycling,,none
performance improvement,enhances,electric bikes,,none
high-wheel bicycle,facilitated by,transportation,,none
early prototypes,supports,urban mobility,,none
propulsion,influences,transport evolution,,none
transport evolution,provides,eco-friendly option,,none
ride experience,reflects,bicycle evolution,,none
innovation,represented by,safety bicycle,,none
chain drive,enables,propulsion,,none
performance,enhanced by,velocipede,,none
ride dynamics,affects,performance improvement,,none
steel frames,contributes to,transport evolution,,none
ride dynamics,enhances,racing machines,,none
penny-farthing,associated with,accidents,,none
materials advancement,marks,cycling milestones,,none
stability,improves,efficiency,,none
bike styles,affects,performance,,none
innovation,supports,stability,,none
high-wheel bicycle,driven by,human ingenuity,,none
innovation,demonstrated by,comfort,,none
velocipede,evolved into,safety bicycle,,none
carbon fiber,enhanced by,competitive sport,,none
carbon fiber,improves,performance,,none
technological advancements,enhances,urban mobility,,none
urban mobility,influenced by,technological advancements,,none
pneumatic tires,supports,commuter cycling,,none
endurance,affects,societal impact,,none
stability,contributes to,eco-friendly option,,none
competitive sport,improves,performance,,none
ride experience,drives,technological advancements,,none
endurance,influences,mechanical design,,none
Tour de France,showcases,electric bikes,,none
aluminum bikes,promotes,sustainable transport,,none
boneshaker,precedes,Tour de France,,none
ride dynamics,affects,mechanical design,,none
commuter cycling,evolved from,velocipede,,none
propulsion,enhances,agility,,none
endurance,facilitates,transportation,,none
endurance,enables,lightweight frames,,none
accidents,demonstrates,human ingenuity,,none
steel frames,enhances,agility,,none
leisure activity,reflects,design evolution,,none
high-wheel bicycle,represents,technological development,,none
ride dynamics,influences,transportation,,none
materials advancement,drives,cycling popularity,,none
ride dynamics,enhances,lightweight frames,,none
innovation,enables,chain drive,,none
bicycle history,improves,efficiency,,none
bicycle evolution,increases,cycling popularity,,none
cycling popularity,demonstrates,human ingenuity,,none
rider preferences,shapes,cycling culture,,none
endurance,reflects,human ingenuity,,none
propulsion,enhances,competitive sport,,none
ride dynamics,affects,ride experience,,none
sustainable transport,influences,societal impact,,none
steel frames,enhances,competitive sport,,none
agility,facilitates,adoption,,none
ride dynamics,demonstrates,human ingenuity,,none
technological advancements,increases,cycling popularity,,none
velocipede,underwent,design transformation,,none
societal impact,influenced,cycling milestones,,none
propulsion,enabled,electric bikes,,none
innovation,drives,transport evolution,,none
cycling culture,shaped,transport evolution,,none
competitive sport,facilitates,transportation,,none
cycling popularity,enhances,urban mobility,,none
sustainable transport,contributes to,lightweight frames,,none
ride safety,prioritizes,rider preferences,,none
electric bikes,utilizes,transportation,,none
recreational cycling,influences,design evolution,,none
boneshaker,inspired,transportation,,none
efficiency,reflects,rider preferences,,none
sustainable transport,enhances,ride experience,,none
human ingenuity,demonstrates,sustainable transport,,none
innovation,showcases,Tour de France,,none
commuter cycling,requires,endurance,,none
rider preferences,shapes,transport evolution,,none
performance,affects,societal impact,,none
design evolution,improves,comfort,,none
pneumatic tires,leads to,performance improvement,,none
human ingenuity,demonstrates,carbon fiber,,none
safety bicycle,influenced,competitive sport,,none
materials advancement,transforms,design transformation,,none
bicycle evolution,represents,design transformation,,none
bicycle history,influences,transport evolution,,none
stability,requires,competitive sport,,none
19th century,marks,cycling milestones,,none
titanium alternatives,enhances,comfort,,none
recreational cycling,benefits from,stability,,none
performance,improves,commuter cycling,,none
sustainable transport,supports,urban mobility,,none
penny-farthing,evolved from,safety bicycle,,none
safety bicycle,predecessor of,penny-farthing,,none
technological advancements,influenced by,design transformation,,none
ride experience,enhances,performance improvement,,none
carbon fiber,supports,urban mobility,,none
early prototypes,marks,cycling milestones,,none
chain drive,provides,stability,,none
bicycle evolution,improves,ride safety,,none
safety bicycle,represents,cycling milestones,,none
pneumatic tires,improved by,velocipede,,none
chain drive,was used in,boneshaker,,none
adoption,influenced,ride experience,,none
steel frames,replaced by,lightweight frames,,none
transport evolution,transformed into,leisure activity,,none
safety bicycle,enhanced by,performance,,none
technological development,driven by,human ingenuity,,none
bicycle evolution,evolved from,competitive sport,,none
cycling popularity,resulted from,design transformation,,none
19th century,characterized by,transportation,,none
societal impact,influenced by,safety bicycle,,none
lightweight frames,facilitates,urban mobility,,none
racing machines,constructed from,carbon fiber,,none
electric bikes,inspired by,human ingenuity,,none
technological advancements,enabled by,chain drive,,none
ride safety,enhanced by,leisure activity,,none
pneumatic tires,marked by,cycling milestones,,none
stability,contributed to,bicycle evolution,,none
chain drive,developed into,early prototypes,,none
bicycle evolution,part of,chain drive,,none
innovation,led to,racing machines,,none
human ingenuity,fueled by,transportation,,none
recreational cycling,influenced by,cycling culture,,none
mechanical design,provides,eco-friendly option,,none
competitive sport,enhanced by,agility,,none
human ingenuity,inspired by,cycling milestones,,none
agility,improved by,electric bikes,,none
velocipede,led to,technological development,,none
innovation,influenced by,bike styles,,none
cycling milestones,resulted from,design transformation,,none
pneumatic tires,enhanced by,performance,,none
design transformation,transformed by,carbon fiber,,none
innovation,inspired by,penny-farthing,,none
societal impact,affected by,comfort,,none
leisure activity,impacted by,accidents,,none
safety bicycle,developed in,19th century,,none
stability,influenced by,design evolution,,none
recreational cycling,enhances,ride safety,,none
high-wheel bicycle,constructed with,steel frames,,none
innovation,leads to,adoption,,none
titanium alternatives,contributes to,cycling popularity,,none
Tour de France,shapes,cycling culture,,none
aluminum bikes,designed for,commuter cycling,,none
early prototypes,led to,safety bicycle,,none
early prototypes,provides,stability,,none
aluminum bikes,influences,mechanical design,,none
penny-farthing,enhances,urban mobility,,none
ride dynamics,is a form of,leisure activity,,none
titanium alternatives,competes with,steel frames,,none
design transformation,affects,performance,,none
materials advancement,drives,technological development,,none
ride dynamics,is part of,bicycle history,,none
aluminum bikes,provides,lightweight frames,,none
penny-farthing,is influenced by,bicycle history,,none
rider preferences,affects,performance improvement,,none
commuter cycling,has an impact on,societal impact,,none
rider preferences,influences,racing machines,,none
innovation,is a result of,eco-friendly option,,none
competitive sport,drives,cycling popularity,,none
adoption,is shaped by,bicycle history,,none
materials advancement,is influenced by,endurance,,none
aluminum bikes,is a result of,human ingenuity,,none
racing machines,influenced by,velocipede,,none
steel frames,is part of,cycling culture,,none
safety bicycle,evolved into,high-wheel bicycle,,none
lightweight frames,is influenced by,design transformation,,none
ride dynamics,is shaped by,materials advancement,,none
safety bicycle,provides,comfort,,none
carbon fiber,enhances,endurance,,none
competitive sport,improves,efficiency,,none
efficiency,affects,penny-farthing,,none
innovation,drives,competitive sport,,none
chain drive,increases,efficiency,,none
draisine,was the first,early prototypes,,none
boneshaker,is smoother than,draisine,,none
boneshaker,is faster than,draisine,,none
safety bicycle,has two equal-sized,pneumatic tires,,none
steel frames,primary material in early,20th century,,none
aluminum bikes,competes with,steel frames,,none
aluminum bikes,emerged in mid,20th century,,none
titanium alternatives,emerged in mid,20th century,,none
