source,relation,target,speaker,role
eye contact,indicates,slouching,,none
gestures,signals,attraction,,none
mirroring gestures,facilitates,communication,,none
body language,is influenced by,effectiveness,,none
communication,improves,understanding,,none
leaning in,can result in,defensiveness,,none
connections,enhances,eye contact,,none
slouching,can indicate,connections,,none
authority,contrasts with,intimacy,,none
emotions,can influence,authority,,none
subtle cues,supports,facial expressions,,none
defensiveness,can be affected by,relationships,,none
defensiveness,is associated with,insecurity,,none
conflict resolution,facilitates,meaningful interactions,,none
discomfort,can indicate,leaning in,,none
cultural cues,is expressed through,nodding,,none
clarity,enhances,emotions,,none
conflict resolution,involves,signals,,none
assertiveness,demonstrates,confidence,,none
discomfort,can lead to,assertiveness,,none
engagement,enhances,effectiveness,,none
engagement,indicates,nodding,,none
emotions,can express,nonverbal cues,,none
engagement,affects,proxemics,,none
assertiveness,is demonstrated by,communication,,none
attraction,signals,intimacy,,none
smiling,is enhanced by,clarity,,none
connections,builds,rapport,,none
gestures,influences,relationships,,none
eye contact,is affected by,social interactions,,none
body language,enhances,intimacy,,none
mirroring gestures,enhances,posture,,none
posture,influenced by,mirroring gestures,,none
effectiveness,contributes to,assertiveness,,none
leaning in,improves,clarity,,none
discomfort,indicates,gestures,,none
mirroring gestures,affects,dynamics,,none
disinterest,reflects,emotions,,none
signals,signals,assertiveness,,none
signals,influences,dynamics,,none
insecurity,suggests,eye contact,,none
insecurity,manifests as,slouching,,none
defensiveness,expresses,emotions,,none
attraction,signals,posture,,none
social interactions,builds,rapport,,none
engagement,enhances,communication,,none
authority,projected by,communication,,none
facial expressions,influences,posture,,none
gestures,improves,clarity,,none
nonverbal cues,conveys,facial expressions,,none
dynamics,affects,facial expressions,,none
disinterest,associated with,effectiveness,,none
confidence,contrasts with,discomfort,,none
leaning in,indicates,nodding,,none
authority,demonstrates,effectiveness,,none
assertiveness,enhances,nodding,,none
understanding,reflects,emotions,,none
connections,facilitates,proxemics,,none
defensiveness,signals,gestures,,none
eye contact,demonstrated by,authority,,none
rapport,enhances,intimacy,,none
slouching,indicates,authority,,none
intimacy,signals,eye contact,,none
attraction,contrasts with,disinterest,,none
relationships,enhances,smiling,,none
mirroring gestures,communicates,signals,,none
insecurity,associated with,communication,,none
understanding,facilitates understanding of,insecurity,,none
effectiveness,enhanced by,leaning in,,none
insecurity,impedes effectiveness of,effectiveness,,none
nonverbal cues,is conveyed through,eye contact,,none
gestures,is expressed through,nodding,,none
posture,is influenced by,engagement,,none
confidence,is indicated by,posture,,none
slouching,is affected by,nonverbal cues,,none
nonverbal cues,influences,relationships,,none
discomfort,is signaled by,posture,,none
emotions,is conveyed by,smiling,,none
dynamics,affects the dynamics of,engagement,,none
slouching,is indicated by,attraction,,none
posture,is influenced by,relationships,,none
authority,is expressed through,body language,,none
confidence,is reflected in,dynamics,,none
connections,enhances,communication,,none
discomfort,is affected by,dynamics,,none
facial expressions,provides signals for,signals,,none
eye contact,is indicated by,disinterest,,none
understanding,is understood through,authority,,none
rapport,is established by,posture,,none
confidence,is indicated by,disinterest,,none
nonverbal cues,is expressed through,mirroring gestures,,none
nonverbal cues,facilitates,rapport,,none
proxemics,is influenced by,insecurity,,none
leaning in,is enhanced by,smiling,,none
attraction,is expressed through,body language,,none
eye contact,is indicated by,defensiveness,,none
smiling,is indicated by,assertiveness,,none
nodding,is indicated by,discomfort,,none
slouching,is indicated by,defensiveness,,none
communication,is conveyed through,emotions,,none
clarity,is improved by,dynamics,,none
understanding,is understood through,attraction,,none
emotions,enhances,effectiveness,,none
understanding,signals,eye contact,,none
signals,conveys,engagement,,none
slouching,indicates,understanding,,none
signals,conveys,emotions,,none
authority,influences,proxemics,,none
dynamics,affects,connections,,none
connections,enhances,social interactions,,none
smiling,expresses,gestures,,none
rapport,signals,defensiveness,,none
nodding,indicates,posture,,none
nonverbal cues,enhances,effectiveness,,none
nonverbal cues,indicates,nodding,,none
assertiveness,signals,attraction,,none
understanding,improves,defensiveness,,none
nonverbal cues,influences,proxemics,,none
body language,indicates,assertiveness,,none
posture,enhances,gestures,,none
mirroring gestures,improves,clarity,,none
discomfort,signals,facial expressions,,none
attraction,signals,communication,,none
nodding,indicates,disinterest,,none
defensiveness,signals,mirroring gestures,,none
proxemics,affects,disinterest,,none
smiling,expresses,discomfort,,none
intimacy,signals,emotions,,none
effectiveness,improves,defensiveness,,none
connections,influences,signals,,none
gestures,enhances,connections,,none
facial expressions,improves,clarity,,none
defensiveness,affects,proxemics,,none
insecurity,influences,social interactions,,none
nonverbal cues,enhances,communication,,none
eye contact,signals,communication,,none
discomfort,causes discomfort,engagement,,none
subtle cues,indicates assertiveness,assertiveness,,none
defensiveness,signals defensiveness,facial expressions,,none
leaning in,signals intimacy,intimacy,,none
confidence,projects confidence,communication,,none
understanding,indicates agreement,nodding,,none
attraction,signals attraction,connections,,none
assertiveness,demonstrates assertiveness,rapport,,none
eye contact,enhances effectiveness,effectiveness,,none
intimacy,signals intimacy,assertiveness,,none
understanding,influences proxemics,proxemics,,none
slouching,indicates discomfort,effectiveness,,none
eye contact,conveys eye contact,signals,,none
insecurity,indicates insecurity,attraction,,none
slouching,indicates slouching,signals,,none
emotions,conveys emotions,insecurity,,none
smiling,influences smiling,dynamics,,none
signals,influences signals,social interactions,,none
social interactions,influences social interactions,authority,,none
insecurity,indicates insecurity,body language,,none
communication,enhances rapport,rapport,,none
engagement,enhances clarity,clarity,,none
communication,influences communication,defensiveness,,none
disinterest,signals disinterest,subtle cues,,none
gestures,signals intimacy,intimacy,,none
signals,indicates signals,insecurity,,none
nonverbal cues,influences dynamics,dynamics,,none
defensiveness,indicates defensiveness,engagement,,none
nonverbal cues,influences social interactions,social interactions,,none
rapport,enhances rapport,signals,,none
confidence,indicates confidence,slouching,,none
social interactions,influences social interactions,attraction,,none
clarity,demonstrates assertiveness,assertiveness,,none
discomfort,indicates discomfort,slouching,,none
understanding,enhances,effectiveness,,none
subtle cues,facilitates,leaning in,,none
smiling,is complemented by,mirroring gestures,,none
dynamics,influences,disinterest,,none
social interactions,affects,disinterest,,none
intimacy,signals,confidence,,none
insecurity,reveals,subtle cues,,none
assertiveness,demonstrates,facial expressions,,none
authority,is conveyed by,signals,,none
subtle cues,is influenced by,connections,,none
posture,is indicated by,defensiveness,,none
attraction,is expressed through,emotions,,none
disinterest,is affected by,mirroring gestures,,none
intimacy,can hinder,discomfort,,none
dynamics,affects,defensiveness,,none
social interactions,impacts,defensiveness,,none
body language,conveys,emotions,,none
communication,influences,proxemics,,none
eye contact,is related to,proxemics,,none
connections,enhances,clarity,,none
slouching,signals,proxemics,,none
subtle cues,is expressed through,gestures,,none
confidence,is influenced by,social interactions,,none
discomfort,is affected by,social interactions,,none
smiling,is indicated by,facial expressions,,none
nonverbal cues,conveys,signals,,none
effectiveness,is influenced by,proxemics,,none
nodding,is indicated by,signals,,none
authority,can signal,attraction,,none
mirroring gestures,facilitates,leaning in,,none
proxemics,is influenced by,signals,,none
disinterest,is indicated by,facial expressions,,none
engagement,is demonstrated by,assertiveness,,none
mirroring gestures,enhances,connections,,none
confidence,opposite of,insecurity,,none
disinterest,indicates,signals,,none
insecurity,causes,discomfort,,none
relationships,influences,assertiveness,,none
nonverbal cues,signals,attraction,,none
nodding,contrasts with,slouching,,none
leaning in,enhances,body language,,none
social interactions,improves,clarity,,none
connections,facilitates,nodding,,none
subtle cues,conveys,emotions,,none
leaning in,supports,facial expressions,,none
defensiveness,indicates,signals,,none
smiling,is expressed by,engagement,,none
insecurity,builds,rapport,,none
rapport,affects,emotions,,none
effectiveness,enhances,communication,,none
assertiveness,is influenced by,emotions,,none
insecurity,is affected by,facial expressions,,none
confidence,is demonstrated by,authority,,none
connections,builds,facial expressions,,none
discomfort,is associated with,authority,,none
insecurity,affects,clarity,,none
disinterest,is diminished by,engagement,,none
understanding,signals,signals,,none
gestures,represents,body language,,none
disinterest,is affected by,relationships,,none
attraction,indicates,defensiveness,,none
attraction,is signaled by,eye contact,,none
facial expressions,enhances,gestures,,none
rapport,is built by,authority,,none
mirroring gestures,signals,intimacy,,none
body language,indicates,eye contact,,none
discomfort,is associated with,nonverbal cues,,none
leaning in,demonstrates,assertiveness,,none
confidence,is enhanced by,attraction,,none
leaning in,facilitates,conflict resolution,,none
connections,enhances,smiling,,none
body language,enables,conflict resolution,,none
nonverbal cues,provides,clarity,,none
body language,fosters,rapport,,none
disinterest,indicates,leaning in,,none
authority,demonstrates,leaning in,,none
conflict resolution,enhances,understanding,,none
subtle cues,signals,eye contact,,none
slouching,suggests,subtle cues,,none
nodding,reflects,confidence,,none
eye contact,enhances,rapport,,none
gestures,aids,conflict resolution,,none
social interactions,conveys,smiling,,none
gestures,enhances,engagement,,none
meaningful interactions,enhances,effectiveness,,none
disinterest,signals,gestures,,none
defensiveness,improves,clarity,,none
engagement,signals,intimacy,,none
signals,conveys,effectiveness,,none
insecurity,indicates,leaning in,,none
signals,conveys,meaningful interactions,,none
gestures,projects,authority,,none
attraction,signals,nodding,,none
subtle cues,enhances,mirroring gestures,,none
conflict resolution,facilitates,assertiveness,,none
relationships,signals,intimacy,,none
relationships,conveys,emotions,,none
attraction,influences,proxemics,,none
smiling,indicates,insecurity,,none
dynamics,enhances,understanding,,none
slouching,indicates,mirroring gestures,,none
subtle cues,improves,understanding,,none
understanding,improves,clarity,,none
mirroring gestures,influences,cultural cues,,none
gestures,enhances,leaning in,,none
attraction,signals,effectiveness,,none
clarity,signals,eye contact,,none
slouching,indicates,clarity,,none
insecurity,indicates,gestures,,none
posture,indicates,assertiveness,,none
cultural cues,informs,proxemics,,none
defensiveness,enhances,nodding,,none
smiling,conveys,authority,,none
mirroring gestures,enhances,body language,,none
authority,enhances,conflict resolution,,none
dynamics,indicates,assertiveness,,none
slouching,indicates,facial expressions,,none
subtle cues,enhances,effectiveness,,none
facial expressions,signals,cultural cues,,none
mirroring gestures,improves,understanding,,none
connections,signals,intimacy,,none
subtle cues,influences,proxemics,,none
discomfort,indicates,communication,,none
smiling,conveys,nonverbal cues,,none
effectiveness,indicates,confidence,,none
dynamics,shapes,authority,,none
discomfort,indicates,effectiveness,,none
insecurity,reveals,conflict resolution,,none
cultural cues,affects,eye contact,,none
mirroring gestures,enhances,facial expressions,,none
body language,informs,facial expressions,,none
discomfort,indicates,signals,,none
slouching,influences,cultural cues,,none
engagement,enhances,subtle cues,,none
smiling,contrasts,disinterest,,none
slouching,reveals,engagement,,none
facial expressions,facilitates,understanding,,none
gestures,conveys,emotions,,none
mirroring gestures,demonstrates,assertiveness,,none
authority,informs,subtle cues,,none
communication,enhances,clarity,,none
relationships,influences,eye contact,,none
cultural cues,affects,engagement,,none
social interactions,signals,intimacy,,none
dynamics,shapes,attraction,,none
subtle cues,enhances,communication,,none
cultural cues,informs,relationships,,none
insecurity,indicates,posture,,none
smiling,contrasts,defensiveness,,none
effectiveness,improves,clarity,,none
conflict resolution,facilitates,social interactions,,none
body language,influences,social interactions,,none
clarity,enhances,signals,,none
mirroring gestures,facilitates,conflict resolution,,none
conflict resolution,requires,mirroring gestures,,none
emotions,enhances,eye contact,,none
eye contact,signals,emotions,,none
clarity,improves,proxemics,,none
proxemics,influences,clarity,,none
dynamics,reveals,insecurity,,none
insecurity,affects,dynamics,,none
nonverbal cues,fosters,connections,,none
connections,enhances,nonverbal cues,,none
engagement,promotes,mirroring gestures,,none
mirroring gestures,benefits from,engagement,,none
engagement,influences,body language,,none
body language,is enhanced by,engagement,,none
authority,contributes to,meaningful interactions,,none
meaningful interactions,is established through,authority,,none
emotions,affects,confidence,,none
confidence,is influenced by,emotions,,none
understanding,enhances,smiling,,none
smiling,is signaled by,understanding,,none
relationships,is expressed through,body language,,none
body language,influences,relationships,,none
engagement,enhances,understanding,,none
understanding,is improved by,engagement,,none
mirroring gestures,establishes,authority,,none
authority,is demonstrated by,mirroring gestures,,none
conflict resolution,influences,emotions,,none
emotions,is affected by,conflict resolution,,none
effectiveness,enhances,nodding,,none
nodding,is improved by,effectiveness,,none
leaning in,signals,eye contact,,none
eye contact,is enhanced by,leaning in,,none
facial expressions,facilitates,conflict resolution,,none
conflict resolution,is influenced by,facial expressions,,none
leaning in,contrasts with,slouching,,none
attraction,enhances,meaningful interactions,,none
meaningful interactions,is signaled by,attraction,,none
assertiveness,enhances,eye contact,,none
subtle cues,informs,nonverbal cues,,none
discomfort,indicates,proxemics,,none
subtle cues,affects,dynamics,,none
slouching,contrasts with,assertiveness,,none
attraction,signals,signals,,none
connections,informs,cultural cues,,none
cultural cues,is shaped by,connections,,none
leaning in,informs,cultural cues,,none
cultural cues,is influenced by,leaning in,,none
connections,hinders,defensiveness,,none
body language,enhances,meaningful interactions,,none
meaningful interactions,is expressed through,body language,,none
facial expressions,enhances,engagement,,none
insecurity,contrasts with,mirroring gestures,,none
body language,conveys,signals,,none
posture,indicates,intimacy,,none
posture,reflects,emotions,,none
authority,projects,facial expressions,,none
smiling,is associated with,happiness,,none
posture,reveals,thoughts,,none
posture,reveals,feelings,,none
confidence,is a,feelings,,none
discomfort,is a,feelings,,none
eye contact,signals,attentiveness,,none
