source,relation,target,speaker,role
commercial space travel,evolves from,exploration evolution,,none
lunar bases,includes,exploration milestones,,none
commercial space travel,traces back to,history,,none
commercial space travel,includes,ambitious missions,,none
advanced propulsion,drives,space race,,none
discovery drive,drives,possibilities,,none
achievements,resulted from,space age,,none
permanent presence,enables,colonization,,none
NASA,fosters,discovery drive,,none
exploration risks,exposes,permanent presence,,none
advanced propulsion,enables,ambitious missions,,none
cosmos,shapes,humanity's future,,none
exploration risks,addresses,advanced propulsion,,none
history,reflects,exploration evolution,,none
NASA,embodies,human adventure,,none
permanent presence,facilitates,crewed missions,,none
humanity's future,envisions,cosmic exploration,,none
discovery drive,results in,achievements,,none
cosmic journey,includes,exploration milestones,,none
space travel,facilitated,achievements,,none
Neil Armstrong,achieved by,exploration milestones,,none
cosmic exploration,involves,human adventure,,none
collaboration,creates,possibilities,,none
space age,initiates,cosmic journey,,none
Vostok 1,paved the way for,permanent presence,,none
human milestones,defines,human adventure,,none
space tourism,influences,exploration evolution,,none
human milestones,represents,ISS,,none
humanity's future,promises,space tourism,,none
Buzz Aldrin,marks,significant events,,none
human adventure,enables,crewed missions,,none
moon landing,spurred,space race,,none
exploration evolution,influenced by,cosmos,,none
technological advancements,led to,moon landing,,none
exploration evolution,reflected in,moon landing,,none
significant events,illustrates,exploration evolution,,none
permanent presence,enables,interplanetary exploration,,none
cosmos,targets,Mars exploration,,none
moon landing,inspired,ambitious missions,,none
technological advancements,drives,technological evolution,,none
cosmic journey,highlights,tragedies,,none
challenges,affects,exploration milestones,,none
Neil Armstrong,pioneered,space travel,,none
space tourism,facilitated by,ISS,,none
challenges,associated with,tragedies,,none
Soviet Union,competed with,space shuttle program,,none
advanced propulsion,enables,crewed missions,,none
Sputnik 1,began the,space age,,none
NASA,initiated,space shuttle program,,none
space shuttle program,began in,1980s,,none
SpaceX,has missions to,ISS,,none
SpaceX,had multiple,manned missions,,none
